# Semrush report: phrase_kdi
# params: 30 ranking keywords, database=us
# fetched: 2026-08-25
Keyword;Keyword Difficulty Index
vtech race & learn driver product info and reviews;19
mega bloks first builders big building bag reviews;21
3 in 1 splash n grow water table;23
sensory toys newborn;12
sensory toys for newborns;21
sensory baby toys;4
little tikes 3 in 1 splash n grow water table;30
little tikes 3-in-1 splash 'n grow water table;30
baby sensory toys;23
sensory items for infants;9
sensory infant toys;3
sensory toys baby;0
sensory toys for baby;22
sensory toys for infants;14
best building sets for 3 year olds;9
sensory toy for infant;16
sensory toys for babies;24
baby sensory toy;8
baby sensory toys year;31
best building toys for 3 year olds;7
non toxic wood toys;15
best construction toys;15
best sensory toys for infants;31
best building construction toys;11
best sensory toys for babies;25
best building toy;13
sensory toys for 12 month old;10
best sensory toys for newborns;28
what are baby sensory toys;24
best toys for building independence;12
