# Semrush report: resource_organic
# params: {"target":"safenesttoys.com","database":"us","display_limit":500,"display_sort":"position_asc"}
# fetched: 2026-08-25T21:28:00.442Z
# via: mcp.semrush.com/v2/mcp (Authorization: Apikey)
Keyword;Position;Previous Position;Position Difference;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends
vtech race & learn driver product info and reviews;25;25;0;260;0.00;https://www.safenesttoys.com/reviews/vtech-race-and-learn-driver;0.00;0.00;0.00;189;0.05,0.55,1.00,0.55,0.13,0.03,0.00,0.00,0.00,0.00,0.00
mega bloks first builders big building bag reviews;35;35;0;50;0.00;https://safenesttoys.com/reviews/mega-bloks-first-builders-big-bag-of-blocks;0.00;0.00;0.00;179;0.02,0.00,0.82,1.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3 in 1 splash n grow water table;38;0;0;40;0.30;https://www.safenesttoys.com/reviews/little-tikes-3-in-1-splash-n-grow-water-table;0.00;0.00;0.99;178;0.14,0.14,0.78,0.14,0.14,0.14,0.14,0.14,0.14,0.78,0.78,0.14
sensory toys newborn;40;40;0;70;0.58;https://www.safenesttoys.com/guides/best-sensory-toys-babies;0.00;0.00;1.00;187;0.03,1.00,0.12,0.43,0.09,0.09,0.09,0.03,0.03,0.43,0.00,0.03
sensory toys for newborns;40;40;0;720;0.58;https://www.safenesttoys.com/guides/best-sensory-toys-babies;0.00;0.00;1.00;197;0.79,0.79,1.00,0.05,0.00,0.04,0.08,0.10,0.02,0.10,0.20,0.10
sensory baby toys;41;41;0;170;0.00;https://www.safenesttoys.com/guides/best-sensory-toys-babies;0.00;0.00;0.00;188;0.08,0.05,0.08,0.08,0.07,0.07,0.10,0.10,0.04,0.04,0.00,0.02
little tikes 3 in 1 splash n grow water table;43;43;0;70;0.30;https://www.safenesttoys.com/reviews/little-tikes-3-in-1-splash-n-grow-water-table;0.00;0.00;0.92;174;0.18,0.15,0.18,0.06,0.00,0.05,0.00,0.03,0.18,0.44,0.08,0.11
little tikes 3-in-1 splash 'n grow water table;45;45;0;50;0.30;https://www.safenesttoys.com/reviews/little-tikes-3-in-1-splash-n-grow-water-table;0.00;0.00;0.92;177;0.14,0.02,0.02,0.02,0.08,0.00,0.14,0.00,0.00,0.00,0.35,0.54
baby sensory toys;45;45;0;880;0.00;https://www.safenesttoys.com/guides/best-sensory-toys-babies;0.00;0.00;0.00;197;0.37,0.52,0.37,0.46,0.46,0.46,0.84,0.84,0.46,0.37,0.46,0.31
sensory items for infants;52;52;0;110;0.41;https://www.safenesttoys.com/guides/best-sensory-toys-babies;0.00;0.00;0.94;187;0.04,0.04,0.04,0.04,0.22,1.00,0.81,0.10,0.08,0.10,0.08,0.08
sensory infant toys;56;56;0;90;0.62;https://www.safenesttoys.com/guides/best-sensory-toys-babies;0.00;0.00;0.99;197;0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
sensory toys baby;58;58;0;40;0.00;https://www.safenesttoys.com/guides/best-sensory-toys-babies;0.00;0.00;0.00;248;0.00,0.45,0.45,0.36,0.09,1.00,0.81,0.00,0.00,0.18,0.45,0.36
sensory toys for baby;59;59;0;170;0.00;https://www.safenesttoys.com/guides/best-sensory-toys-babies;0.00;0.00;0.00;195;0.00,0.03,0.03,0.00,0.01,0.00,0.05,0.00,0.00,1.00,0.06,0.55
sensory toys for infants;59;59;0;590;0.62;https://www.safenesttoys.com/guides/best-sensory-toys-babies;0.00;0.00;0.99;190;0.44,0.08,0.05,0.16,0.13,0.13,0.82,0.07,0.07,0.30,0.04,0.01
