# Semrush report: backlinks_refdomains
# params: {"target":"safenesttoys.com","target_type":"root_domain","display_limit":200}
# fetched: 2026-08-25T21:28:00.442Z
# via: mcp.semrush.com/v2/mcp (Authorization: Apikey)
domain;backlinks_num;domain_score;domain_trust_score;first_seen;last_seen;ip;country
seopxl-traffic-growth-lab.shop;3;2;2;1780698449;1786503208;162.0.229.243;us
buzzshrink.website;2;6;6;1785820893;1787027802;195.20.19.178;md
qwenterprise.com;2;2;2;1785271745;1787383515;104.21.92.98;
theshoppingjournal.com;2;5;5;1784446003;1786921804;136.111.38.238;us
trendyhealthtimes.com;2;2;2;1782910271;1787186949;172.67.167.108;
wallshelfjournal.com;2;5;5;1784414244;1787262916;136.111.38.238;us
bestbusiness05.wordpress.com;1;2;2;1783285357;1783285357;192.0.78.12;us
betulcrime.com;1;4;4;1787380940;1787380940;172.67.192.162;
blogerreviewers.com;1;2;2;1787585806;1787585806;172.67.215.250;
domraider.eu.com;1;0;0;1786704558;1787417659;172.67.212.236;
domraider.gb.net;1;0;0;1786588209;1787346557;172.67.168.81;
domraider.it.com;1;0;0;1787188137;1787188137;104.21.1.165;
fiverr-affordable-seo-services.site;1;2;2;1781471618;1787096454;104.21.78.106;
fiverr-cost-effective-seo.site;1;2;2;1781432343;1787112489;172.67.139.180;
fiverr-quality-seo-at-affordable-rates.site;1;2;2;1781383728;1787080958;172.67.155.250;
fiverr-seo-for-business-growth.site;1;3;3;1781426296;1787162715;104.21.12.116;
fiverr-seo-for-small-businesses.site;1;2;2;1781470341;1787088535;104.21.45.8;
flavorandwellness.com;1;4;4;1784318585;1785777442;136.111.38.238;us
high-traffic-backlinks.site;1;3;3;1785986850;1786345256;104.21.57.231;
linknora.shop;1;0;0;1786965987;1786965987;104.21.91.99;
pbnlinks.shop;1;2;2;1786602058;1787309930;172.67.159.182;
pbnlinksmaster.shop;1;2;2;1786841560;1787609481;104.21.1.23;
rdxextremez.com;1;2;2;1783284183;1787387291;104.21.42.231;
sapphirevpn.net;1;2;2;1787227479;1787227479;172.67.188.151;
seo-growth-authority-boost-hub.shop;1;2;2;1780793547;1786415548;162.0.229.243;us
seo-growth-optimization-hub.shop;1;2;2;1780723237;1786354207;162.0.229.243;us
seopxl-organic-boost-lab.shop;1;2;2;1780736639;1783271253;162.0.229.243;us
seopxl-performance-authority-engine.shop;1;2;2;1780744059;1786415859;162.0.229.243;us
seopxl-ranking-boost-lab.shop;1;2;2;1780837588;1783282812;162.0.229.243;us
seovora.shop;1;0;0;1786776753;1787495478;172.67.128.217;
themoderndispatch.com;1;5;5;1784520344;1786428840;136.111.38.238;us
